cluster,feature,mean,median,min,max
0,업계_금융,1.0,1.0,1.0,1.0
0,"기업규모_공기업,공공기관",0.75,1.0,0.0,1.0
0,기업규모_대기업,0.25,0.0,0.0,1.0
0,재직자수,1027.5,351.0,160.0,3248.0
0,기업매출,641275000000.0,268000000000.0,29100000000.0,2000000000000.0
1,업계_nan,1.0,1.0,1.0,1.0
1,기업규모_nan,1.0,1.0,1.0,1.0
2,업계_IT,0.018518518518518517,0.0,0.0,1.0
2,업계_교통,0.037037037037037035,0.0,0.0,1.0
2,업계_문화,0.07407407407407407,0.0,0.0,1.0
2,업계_반도체,0.018518518518518517,0.0,0.0,1.0
2,업계_뷰티/미용,0.037037037037037035,0.0,0.0,1.0
2,업계_산업기계제조,0.25925925925925924,0.0,0.0,1.0
2,업계_전자부품제조,0.037037037037037035,0.0,0.0,1.0
2,업계_제약,0.24074074074074073,0.0,0.0,1.0
2,업계_화학,0.2777777777777778,0.0,0.0,1.0
2,"기업규모_공기업,공공기관",0.12962962962962962,0.0,0.0,1.0
2,기업규모_대기업,0.07407407407407407,0.0,0.0,1.0
2,기업규모_일본계,0.7407407407407407,1.0,0.0,1.0
2,기업규모_중견기업,0.05555555555555555,0.0,0.0,1.0
2,재직자수,274.98148148148147,125.0,7.0,2403.0
2,기업매출,206798148148.14816,60500000000.0,15000000000.0,3613600000000.0
3,"업계_건축,토목",0.07692307692307693,0.0,0.0,1.0
3,업계_반도체,0.8461538461538461,1.0,0.0,1.0
3,업계_화학,0.07692307692307693,0.0,0.0,1.0
3,기업규모_외국계,1.0,1.0,1.0,1.0
3,재직자수,1310.5,1310.5,121.0,2500.0
3,기업매출,5060000000000.0,5060000000000.0,120000000000.0,10000000000000.0
4,업계_농업,1.0,1.0,1.0,1.0
4,"기업규모_공기업,공공기관",1.0,1.0,1.0,1.0
4,재직자수,4290.333333333333,5068.0,402.0,5068.0
4,기업매출,2544666666666.6665,3000000000000.0,268000000000.0,3000000000000.0
5,업계_식품,1.0,1.0,1.0,1.0
5,기업규모_기타,1.0,1.0,1.0,1.0
6,"업계_건축,토목",0.09090909090909091,0.0,0.0,1.0
6,업계_문화,0.09090909090909091,0.0,0.0,1.0
6,업계_뷰티/미용,0.09090909090909091,0.0,0.0,1.0
6,업계_생활용품,0.7272727272727273,1.0,0.0,1.0
6,기업규모_중소기업,1.0,1.0,1.0,1.0
6,재직자수,125.63636363636364,135.0,7.0,210.0
6,기업매출,58259090909.09091,70000000000.0,750000000.0,73500000000.0
7,업계_도매업,1.0,1.0,1.0,1.0
7,기업규모_대기업,0.8,1.0,0.0,1.0
7,기업규모_일본계,0.2,0.0,0.0,1.0
7,재직자수,2075.4,2403.0,27.0,3141.0
7,기업매출,432460000000.0,664100000000.0,30000000000.0,664100000000.0
8,업계_자동차,1.0,1.0,1.0,1.0
8,기업규모_중견기업,1.0,1.0,1.0,1.0
8,재직자수,283.0,274.0,274.0,310.0
8,기업매출,120750000000.0,128600000000.0,97200000000.0,128600000000.0
9,"업계_호텔,여행,항공",1.0,1.0,1.0,1.0
9,기업규모_대기업,0.8,1.0,0.0,1.0
9,기업규모_중견기업,0.2,0.0,0.0,1.0
9,재직자수,2408.6,2403.0,365.0,4469.0
9,기업매출,1105220000000.0,664100000000.0,80800000000.0,3453000000000.0
