날짜,기업명,업계,기업규모,설립년도,기업매출,재직자수,제공서비스,서비스내용
2017. 7. 6,약손명가,뷰티/미용,중소기업,2009. 10. 12,"₩6,600,000,000",10,교육,SBRP 교육
2017. 7. 6,위본그룹(자동차),자동차,중견기업,2004. 9. 1,"₩97,200,000,000",310,교육,관리자 교육
2019. 9. 3,한국농어촌공사,농업,"공기업,공공기관",1908. 12. 1,"₩3,000,000,000,000",5068,교육,승진자 교육
2019. 9. 4,,반도체,,,,,교육,인사평가 실천연수
2019. 9. 6,,화학,,,,,교육,컴플라이언스 교육
2019. 9. 9,한국석유관리원,화학,"공기업,공공기관",1908. 11. 15,"₩16,700,000,000",203,교육,대인관계 스킬 교육
2019. 9. 10,참좋은여행,"호텔,여행,항공",중견기업,2007. 2. 20,"₩80,800,000,000",365,교육,커뮤니케이션 교육
2019. 9. 11,,반도체,,,,,교육,조직활성화 워크샵
2019. 9. 16,한국농어촌공사,농업,"공기업,공공기관",1908. 12. 1,"₩3,000,000,000,000",5068,교육,승진자 교육
2019. 9. 17,,산업기계제조,일본계,,,,교육,영업력 강화 교육
2019. 9. 18,,반도체,일본계,,,,교육,커뮤니케이션 교육
2019. 9. 27,캐논코리아,산업기계제조,일본계,1985. 5. 10,"₩520,000,000,000",1215,교육,조직 프로세스 향상 교육
2019. 10. 1,골든듀,산업기계제조,중견기업,1982. 6. 10,"₩160,000,000,000",238,교육,신입사원 연수
2019. 10. 2,한국무역협회,금융,"공기업,공공기관",1946. 7. 31,"₩268,000,000,000",300,교육,커뮤니케이션 교육
2019. 10. 14,한국체육산업개발,문화,"공기업,공공기관",1990. 8. 1,"₩34,800,000,000",402,교육,승진자 교육
2019. 10. 15,ASML KOREA,반도체,외국계,1996. 7. 4,"₩10,000,000,000,000",2500,교육,신입사원 연수
2019. 10. 16,후지필름,산업기계제조,일본계,2012. 2. 14,"₩15,000,000,000",97,교육,승진자 교육
2019. 10. 21,현대백화점,도매업,대기업,2002. 11. 1,"₩140,000,000,000",3141,교육,관리자교육
2019. 10. 30,,반도체,,,,,교육,마인드셋 교육
2019. 10. 31,미트뱅크,생활용품,중소기업,1997. 1. 3,"₩70,000,000,000",210,교육,커뮤니케이션 교육
2019. 11. 1,,제약,,,,,교육,팔로워십
2019. 11. 4,,산업기계제조,,,,,워크샵,업무효율화
2019. 11. 14,고세코리아,뷰티/미용,일본계,2001. 7. 27,"₩100,000,000,000",130,워크샵,팀워크
2019. 11. 26,한국농어촌공사,농업,"공기업,공공기관",1908. 12. 1,"₩3,000,000,000,000",5068,교육,ALP 교육
2019. 11. 27,롯데호텔,"호텔,여행,항공",대기업,1973. 2. 26,"₩3,453,000,000,000",4469,교육,영업력 강화 교육
2019. 11. 28,미트뱅크,생활용품,중소기업,1997. 1. 3,"₩70,000,000,000",210,교육,관리자 교육
2019. 11. 29,듀어코리아,"건축,토목",외국계,1982. 6. 1,"₩120,000,000,000",121,교육,신입사원 연수
2019. 12. 2,한국경남태양유전,화학,일본계,1990. 10. 5,"₩380,000,000,000",850,교육,관리자 교육
2019. 12. 3,캐논코리아,산업기계제조,일본계,1985. 5. 10,"₩520,000,000,000",1215,교육,승진자 교육
2019. 12. 4,미트뱅크,생활용품,중소기업,1997. 1. 3,"₩70,000,000,000",210,교육,리더십 교육
2019. 12. 17,파나소닉코리아,전자부품제조,일본계,2000. 11. 10,"₩90,900,000,000",50,교육,사원급 교육
2020. 1. 6,,제약,,,,,교육,리더십 교육
2019. 11. 4,,산업기계제조,,,,,교육,업무효율화
2020. 1. 6,,제약,,,,,교육,HEP 교육
2020. 1. 10,KPX코리아,화학,대기업,1974. 7. 1,"₩664,100,000,000",265,워크샵,주니어급
2020. 1. 16,,제약,,,,,교육,신입사원 연수
2020. 1. 17,,교통,,,,,교육,신입사원 연수
2020. 1. 22,SK바이오사이언스,제약,대기업,2018. 7. 1,"₩156,200,000,000",996,교육,프레젠테이션 교육
2020. 1. 23,디와이 그룹,산업기계제조,중견기업,1978. 10. 5,"₩1,000,000,000,000",86,교육,리더십 교육
2020. 1. 28,이테크 건설,"건축,토목",중소기업,2014. 2. 24,"₩73,500,000,000",60,교육,승진자 교육
2020. 2. 20,테이진리엘소트코리아,화학,일본계,2011. 10. 31,"₩209,000,000,000",30,교육,커뮤니케이션 교육
2020. 6. 30,대구은행,금융,대기업,1967. 10. 7,"₩2,000,000,000,000",3248,교육,신입사원 연수
2020. 8. 7,한국다이이치산업,제약,일본계,1990. 7. 16,"₩309,700,000,000",244,교육,신입사원 연수
2020. 8. 10,,반도체,,,,,교육,영업력 강화 교육
2020. 8. 24,한국벤처투자,금융,"공기업,공공기관",2005. 6. 29,"₩29,100,000,000",160,교육,신입사원 연수
2020. 9. 1,미쓰비시다나베파마코리아,제약,일본계,1984. 3. 31,"₩44,400,000,000",125,교육,리더십 교육
2020. 9. 14,한국폴리플라스틱스,화학,일본계,2011. 11. 9,"₩60,500,000,000",7,교육,컴플라이언스 교육
2020. 10. 19,코오롱베니트,IT,대기업,1999. 11. 1,"₩490,000,000,000",519,교육,신입사원 연수
2020. 11. 14,미쓰비시다나베파마코리아,제약,일본계,1984. 3. 31,"₩44,400,000,000",125,교육,신입사원 연수
2020. 12. 10,후지필름,산업기계제조,일본계,2012. 2. 14,"₩15,000,000,000",97,교육,신입사원 연수
2020. 10. 21,한국체육산업개발,문화,"공기업,공공기관",1990. 8. 1,"₩34,800,000,000",402,교육,커뮤니케이션 교육
2020. 12. 28,마이룸TV,문화,중소기업,2019. 5. 3,"₩750,000,000",7,워크샵,LIFO
2021. 1. 4,미쓰비시다나베파마코리아,제약,일본계,1984. 3. 31,"₩44,400,000,000",125,워크샵,전략실행
2021. 3. 4,한국발명진흥회,문화,"공기업,공공기관",1995. 1. 3,"₩123,000,000,000",198,교육,리더십 교육
2020. 12. 10,후지필름,산업기계제조,일본계,2012. 2. 14,"₩15,000,000,000",97,교육,리더십 교육
2021. 3. 10,한국히타치그룹,도매업,일본계,2007. 8. 31,"₩30,000,000,000",27,워크샵,조직진단
2021. 3. 31,,농업,,,,,워크샵,LIFO
2021. 4. 6,,교통,"공기업,공공기관",,,,교육,신입사원 연수
2021. 4. 7,,,"공기업,공공기관",,,,교육,신입사원 연수
2021. 4. 8,,,"공기업,공공기관",,,,교육,신입사원 연수
2021. 4. 9,한국농어촌공사,농업,"공기업,공공기관",1908. 12. 1,"₩3,000,000,000,000",5068,교육,신입사원 연수
2021. 4. 9,한국농어촌공사,농업,"공기업,공공기관",1908. 12. 1,"₩3,000,000,000,000",5068,교육,승진자 교육
2021. 4. 13,,산업기계제조,,,,,교육,신입사원 연수
2021. 4. 29,,반도체,,,,,워크샵,리더십
2021. 6. 23,,식품,,,,,워크샵,LIFO
2021. 7. 20,,문화,,,,,교육,리더십 교육
2021. 7. 27,,"호텔,여행,항공",,,,,교육,신입사원 연수
2021. 7. 29,OCI주식회사,화학,대기업,1974. 7. 1,"₩3,613,600,000,000",2403,교육,문제해결 교육
2021. 8. 30,,,"공기업,공공기관",,,,교육,신입사원 연수
2021. 9. 15,,,"공기업,공공기관",,,,교육,계층별 교육
2025. 1. 22,,"호텔,여행,항공",,,,,교육,커뮤니케이션 교육
2025. 1. 24,,산업기계제조,,,,,워크샵,조직 역량 강화
2025. 2. 6,,화학,,,,,워크샵,전략수립
2025. 2. 7,,반도체,,,,,교육,매니지먼트 교육
2025. 4. 10,,도매업,,,,,교육,인사평가 교육
2025. 4. 11,,전자부품제조,,,,,교육,인사평가 교육
2025. 4. 18,,화학,,,,,교육,문제해결 교육
2025. 4. 21,,화학,,,,,교육,리더십
2025. 4. 24,,도매업,,,,,교육,인사평가 교육
2025. 5. 15,,산업기계제조,,,,,교육,팀장 대상 교육
2025. 5. 27,,반도체,,,,,교육,리더십 교육
2025. 5. 29,,도매업,,,,,교육,인사평가 교육
2025. 6. 4,,화학,,,,,교육,승진자 교육
2025. 7. 9,,반도체,,,,,워크샵,전략수립
2025. 7. 10,,,"공기업,공공기관",,,,교육,신입사원 연수
2025. 7. 11,,,"공기업,공공기관",,,,교육,매니지먼트 교육
2025. 8. 9,,화학,,,,,워크샵,전략수립
2017. 7. 17,,뷰티/미용,,,,,컨설팅,브랜드 강화
2017. 7. 27,,제약,,,,,컨설팅,사원 역량 강화
2017. 7. 27,,제약,,,,,컨설팅,업무관리 역량 강화
2017. 7. 27,,제약,,,,,컨설팅,리더십 강화
2020. 8. 6,,반도체,,,,,컨설팅,조직개발
2020. 8. 23,,화학,중견기업,,,,컨설팅,조직개발
2020. 9. 11,,,"공기업,공공기관",,,,컨설팅,리더십 강화
2020. 9. 25,,반도체,,,,,컨설팅,영업력 강화
2020. 10. 25,,생활용품,,,,,컨설팅,영업력 강화
2020. 10. 28,,"호텔,여행,항공",,,,,컨설팅,영업력 강화
2020. 11. 23,,,"공기업,공공기관",,,,컨설팅,조직개발
2020. 11. 27,,,외국계,,,,컨설팅,조직개발
2020. 12. 28,,,외국계,,,,컨설팅,리더십 강화
2021. 1. 15,,화학,외국계,,,,컨설팅,리더십 강화
2021. 1. 22,,화학,,,,,컨설팅,인재개발
2021. 2. 18,,자동차,,,,,컨설팅,영업력 강화
2021. 3. 24,,자동차,,,,,컨설팅,영업력 강화
2021. 4. 1,,자동차,,,,,컨설팅,조직개발
2021. 4. 16,,,외국계,,,,컨설팅,조직개발
2021. 5. 6,,제약,,,,,컨설팅,영업력 강화
2021. 5. 27,,,외국계,,,,컨설팅,조직개발
2021. 6. 17,,,"공기업,공공기관",,,,컨설팅,사내 정착
2021. 6. 24,,,"공기업,공공기관",,,,컨설팅,사내 정착
2021. 7. 8,,생활용품,,,,,컨설팅,영업력 강화
2021. 7. 19,,생활용품,,,,,컨설팅,팀워크 강화
2022. 6. 21,,,외국계,,,,컨설팅,업무 방식 개선
2022. 8. 4,,생활용품,,,,,컨설팅,조직개발
2022. 9. 21,,,"공기업,공공기관",,,,컨설팅,조직개발
2023. 4. 17,,생활용품,,,,,컨설팅,조직개발
2024. 6. 10,,금융,,,,,컨설팅,임원 교육
2024. 7. 4,,산업기계제조,,,,,컨설팅,영업력 강화
2025. 3. 31,,화학,,,,,컨설팅,비즈니스 개선
